"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-12-02T08:00:00.000Z","602.97","609.07","602.34","607.81","0.8730","0.5975","161,443,911"
"2024-12-09T08:00:00.000Z","607.69","608.43","602.13","604.21","-0.5923","-0.8677","168,103,518"
"2024-12-16T08:00:00.000Z","606.00","607.78","580.91","591.15","-2.16","-2.44","419,353,579"
"2024-12-23T08:00:00.000Z","590.89","602.48","587.66","595.01","0.6530","0.3775","197,104,126"
"2024-12-30T08:00:00.000Z","587.89","592.60","580.50","591.95","-0.5143","-0.7897","201,723,845"
"2025-01-06T08:00:00.000Z","596.27","599.70","578.55","580.49","-1.94","-2.21","228,482,212"
"2025-01-13T08:00:00.000Z","575.77","599.36","575.35","597.58","2.94","2.67","254,621,089"
"2025-01-21T08:00:00.000Z","600.67","610.78","598.67","607.97","1.74","1.46","166,485,621"
"2025-01-27T08:00:00.000Z","594.81","609.96","594.64","601.82","-1.01","-1.29","257,924,602"
"2025-02-03T08:00:00.000Z","592.67","608.13","590.49","600.77","-0.1745","-0.4499","216,528,231"
"2025-02-10T08:00:00.000Z","604.03","610.99","598.51","609.70","1.49","1.21","169,013,275"
"2025-02-18T08:00:00.000Z","610.88","613.23","599.47","599.94","-1.60","-1.88","170,833,922"
"2025-02-24T08:00:00.000Z","602.02","603.03","582.44","594.18","-0.9601","-1.24","315,266,033"
"2025-03-03T08:00:00.000Z","596.18","597.34","565.63","575.92","-3.07","-3.35","416,381,623"
"2025-03-10T07:00:00.000Z","567.59","569.54","549.68","562.81","-2.28","-2.55","393,756,635"
"2025-03-17T07:00:00.000Z","562.79","570.95","558.03","563.98","0.2079","-0.0676","328,327,275"
"2025-03-24T07:00:00.000Z","570.80","576.41","555.07","555.66","-1.48","-1.75","263,178,329"
"2025-03-31T07:00:00.000Z","549.83","567.42","505.06","505.28","-9.07","-9.34","569,903,527"
"2025-04-07T07:00:00.000Z","489.19","548.62","481.80","533.94","5.67","5.40","924,492,812"
"2025-04-14T07:00:00.000Z","544.05","544.28","520.29","526.41","-1.41","-1.69","288,279,764"
"2025-04-21T07:00:00.000Z","521.16","551.05","508.46","550.64","4.60","4.33","361,176,912"
"2025-04-28T07:00:00.000Z","551.39","568.38","541.52","566.76","2.93","2.65","312,393,755"
"2025-05-05T07:00:00.000Z","562.57","570.31","556.04","564.34","-0.4270","-0.7024","245,391,373"
"2025-05-12T07:00:00.000Z","581.47","594.50","577.04","594.20","5.29","5.02","360,544,572"
"2025-05-19T07:00:00.000Z","588.10","595.54","575.60","579.11","-2.54","-2.82","370,870,121"
"2025-05-27T07:00:00.000Z","586.07","593.20","578.43","589.39","1.78","1.50","301,708,987"
"2025-06-02T07:00:00.000Z","587.76","600.83","585.06","599.14","1.65","1.38","341,576,045"
"2025-06-09T07:00:00.000Z","599.72","605.06","595.48","597.00","-0.3572","-0.6326","346,556,615"
"2025-06-16T07:00:00.000Z","600.40","604.45","592.86","594.28","-0.4556","-0.7311","332,849,893"
"2025-06-23T07:00:00.000Z","595.04","616.39","591.89","614.91","3.47","3.20","382,082,858"
"2025-06-30T07:00:00.000Z","617.38","626.28","615.04","625.34","1.70","1.42","280,108,844"
"2025-07-07T07:00:00.000Z","623.36","626.87","617.87","623.62","-0.2751","-0.5505","321,151,602"
"2025-07-14T07:00:00.000Z","623.16","629.47","618.05","627.58","0.6350","0.3595","349,710,617"
"2025-07-21T07:00:00.000Z","628.77","637.58","626.19","637.10","1.52","1.24","322,104,806"
"2025-07-28T07:00:00.000Z","637.48","639.85","619.29","621.72","-2.41","-2.69","439,381,049"
"2025-08-04T07:00:00.000Z","625.67","637.64","625.58","637.18","2.49","2.21","343,884,358"
"2025-08-11T07:00:00.000Z","637.46","646.19","634.66","643.44","0.9825","0.7070","311,576,861"
